rank,portal_id,company,jobs_url,host,ats_family,total_score,employer_value_score,likely_yield_score,shared_contract_score,observed_contract_score,cluster_records,observed_jobs,active_review_jobs,same_family_fallbacks,health_state,contract_evidence
120,78,Mineral Resources,https://careers.mineralresources.com.au/,careers.mineralresources.com.au,Custom / branded careers portal,31,7,2,6,16,1,10,0,6,HEALTHY,successful public response observed
121,297,Aptiv,https://www.aptiv.com/en/jobs/search/open-positions,www.aptiv.com,Custom / branded portal,31,11,0,20,0,3,0,0,76,UNKNOWN,public contract not yet observed
122,322,BMW,https://www.bmwgroup.jobs/,www.bmwgroup.jobs,Custom / branded portal,31,11,0,20,0,3,0,0,76,UNKNOWN,public contract not yet observed
123,330,CAE,https://www.cae.com/careers/,www.cae.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
124,365,Emerson,https://www.emerson.com/en/corporate/careers/career-opportunities,www.emerson.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
125,366,Enel,https://www.enel.com/careers,www.enel.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
126,367,Eni,https://www.eni.com/en-IT/careers/job-opportunities.html,www.eni.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
127,369,Equinor,https://www.equinor.com/careers,www.equinor.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
128,373,FINCANTIERI,https://www.fincantieri.com/it/persone/lavora-con-noi/posizioni-aperte,www.fincantieri.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
129,334,Janssen Pharmaceutica,https://www.careers.jnj.com/jobs,www.careers.jnj.com,Custom / branded portal,31,11,0,20,0,3,0,0,76,UNKNOWN,public contract not yet observed
130,415,Lockheed Martin,https://www.lockheedmartin.com/careers/opportunities,www.lockheedmartin.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
131,364,Merck,https://www.emdgroup.com/en/careers.html,www.emdgroup.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
132,439,Northrop Grumman,https://www.northropgrumman.com/jobs-search,www.northropgrumman.com,Custom / branded portal,31,11,0,20,0,3,0,0,76,UNKNOWN,public contract not yet observed
133,458,Renault Group,https://www.renaultgroup.com/en/careers/,www.renaultgroup.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
134,466,RWE,https://www.rwe.com/en/rwe-careers-portal/,www.rwe.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
135,387,Telecom Italia | TIM,https://www.gruppotim.it/it/lavora-con-noi.html,www.gruppotim.it,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
136,493,Tenable | Vulcan Cyber,https://www.tenable.com/careers,www.tenable.com,Custom / branded portal,31,11,0,20,0,3,0,0,76,UNKNOWN,public contract not yet observed
137,496,Trend Micro,https://www.trendmicro.com/en/about/careers.html,www.trendmicro.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
138,498,UBS,https://www.ubs.com/global/en/careers.html,www.ubs.com,Custom / backend unverified,31,11,0,20,0,3,0,0,148,UNKNOWN,public contract not yet observed
139,65,IGO,https://careers.igo.com.au/,careers.igo.com.au,Custom / branded careers portal,30,7,1,6,16,1,6,0,6,HEALTHY,successful public response observed
140,28,Auto & General Insurance Company,https://careers.autogeneral.com.au/,careers.autogeneral.com.au,Custom / branded careers portal,30,7,1,6,16,1,5,0,6,HEALTHY,successful public response observed
141,46,Detectify,https://careers.detectify.com/,careers.detectify.com,Custom / branded careers portal,29,7,0,6,16,1,4,0,6,HEALTHY,successful public response observed
142,485,AAI | Suncorp,https://www.suncorpgroup.com.au/careers,www.suncorpgroup.com.au,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
143,345,Commonwealth Bank | Commonwealth Bank of Australia,https://www.commbank.com.au/about-us/careers.html,www.commbank.com.au,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
144,217,Daimler Truck,https://jobs.mercedes-benz.com/,jobs.mercedes-benz.com,Oracle Taleo,29,17,0,1,11,6,0,0,1,HEALTHY,successful public response observed
145,362,EDF,https://www.edf.fr/edf-recrute,www.edf.fr,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
146,402,InfoCamere,https://www.infocamere.it/lavora-con-noi,www.infocamere.it,Custom first-party portal,29,9,0,20,0,2,0,0,31,UNKNOWN,public contract not yet observed
147,430,National Australia Bank | National Australia Bank Europe France,https://www.nab.com.au/about-us/careers,www.nab.com.au,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
148,478,Solvay (Syensqo),https://www.solvay.com/en/career,www.solvay.com,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
149,480,Sophos,https://www.sophos.com/en-us/company/careers,www.sophos.com,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
150,503,Valeo,https://www.valeo.com/en/find-a-job-or-internship/,www.valeo.com,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
151,507,Westpac Banking | Westpac New Zealand,https://www.westpac.com.au/about-westpac/careers/,www.westpac.com.au,Custom / backend unverified,29,9,0,20,0,2,0,0,148,UNKNOWN,public contract not yet observed
152,152,Asirom Vienna Insurance Group,https://group.vig/en/career/application/jobs/,group.vig,Custom / local application portals,28,11,0,1,16,3,1,0,1,HEALTHY,successful public response observed
153,137,Visa,https://corporate.visa.com/en/careers.html,corporate.visa.com,Greenhouse-integrated signal (gh_jid) / backend not fully asserted,28,11,0,1,16,3,1,0,1,HEALTHY,successful public response observed
154,384,Alphabet | Mandiant,https://www.google.com/about/careers/applications/jobs/results,www.google.com,Custom Google Careers,28,27,0,1,0,11,0,0,1,UNKNOWN,public contract not yet observed
155,385,A2A,https://www.gruppoa2a.it/it/carriere/opportunita-lavoro-nostre-career-areas,www.gruppoa2a.it,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
156,407,Abbott,https://www.jobs.abbott/,www.jobs.abbott,Custom / branded portal,27,7,0,20,0,1,0,0,76,UNKNOWN,public contract not yet observed
157,506,ABN AMRO,https://www.werkenbijabnamro.nl/en/vacancies,www.werkenbijabnamro.nl,Custom first-party portal,27,7,0,20,0,1,0,0,31,UNKNOWN,public contract not yet observed
158,20,Adobe,https://careers.adobe.com/us/en/search-results,careers.adobe.com,Custom / branded jobs portal,27,7,0,9,11,1,0,0,9,HEALTHY,successful public response observed
159,287,AIG,https://www.aig.com/careers,www.aig.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
160,286,AIG Australia,https://www.aig.com.au/home/careers,www.aig.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
161,289,Alcoa Australia,https://www.alcoa.com/careers/en,www.alcoa.com,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
162,290,Alex Bank,https://www.alex.bank/about-alex/,www.alex.bank,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
163,23,Alvarez & Marsal,https://careers.alvarezandmarsal.com/search/jobs,careers.alvarezandmarsal.com,Custom / branded portal,27,7,0,20,0,1,0,0,76,DEGRADED,public contract not yet observed
164,293,AMP Bank,https://www.amp.com.au/about-amp/careers,www.amp.com.au,Custom / backend unverified,27,7,0,20,0,1,0,0,148,UNKNOWN,public contract not yet observed
