rank,corporate_cluster_id,representative_employer,priority_score,employer_scale_score,cybersecurity_relevance_score,target_geography_score,early_career_probability_score,cluster_record_score,likely_ats_quality_score,legal_discovery_records,primary_scan_eligible,sectors,discovery_geographies,organization_types,score_rationale
88,CG-DB98408240,Vepe Security,78,12,20,15,15,5,11,1,True,Defence / aerospace / space / security / cyber / dual-use,Finland,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
89,CG-839B1F9E73,Viking Security,78,12,20,15,15,5,11,1,True,Defence / aerospace / security / cyber / space / dual-use,Estonia,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
90,CG-894D6E5856,WhySecurity,78,12,20,15,15,5,11,1,True,Cybersecurity / critical infrastructure / technology,Italy,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
91,CG-353391C4F6,Wider Security,78,12,20,15,15,5,11,1,True,Defence / national security / cyber / aerospace / dual-use / services,USA,Company,"regulated or mature-employer sector; cyber/security employer name; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, non-numeric identity"
92,CG-B6840442CB,APS Bank,78,12,18,15,15,5,13,1,True,Cybersecurity / technology / finance / gaming | Technology / cyber / fintech / gaming / telecom / critical infrastructure,Malta,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
93,CG-73F8152A18,Armmo Defense Technologies,78,12,18,15,15,5,13,1,True,Defence / security / aerospace / space / cybersecurity,Spain,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
94,CG-A940B2BEDA,Avon Protection Systems,78,12,18,15,15,5,13,1,True,Cybersecurity / defence / aerospace / technology / professional services,UK,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
95,CG-B43F46414F,Bank of Valletta,78,12,18,15,15,5,13,1,True,Cybersecurity / technology / finance / gaming | Technology / cyber / fintech / gaming / telecom / critical infrastructure,Malta,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
96,CG-0D8F60366A,Beagle Technology Group,78,12,18,15,15,5,13,1,True,Cybersecurity / defence / aerospace / technology / professional services,UK,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
97,CG-079B35AB0D,Between Group,78,12,18,15,15,5,13,1,True,Defence / security / aerospace / space / cybersecurity,Spain,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
98,CG-346990DDF8,BMIT Technologies,78,12,18,15,15,5,13,1,True,Cybersecurity / technology / finance / gaming | Technology / cyber / fintech / gaming / telecom / critical infrastructure,Malta,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
99,CG-6AC7E933E6,Citadele banka,78,12,18,15,15,5,13,1,True,Cybersecurity / technology / critical infrastructure / cross-sector,Latvia,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
100,CG-B8445B4240,CPI TMD Technologies,78,12,18,15,15,5,13,1,True,Cybersecurity / defence / aerospace / technology / professional services,UK,Company,"regulated or mature-employer sector; explicit cybersecurity sector; configured target geography; primary scan eligible, company organization type, technology/cyber hiring sector; 1 source record(s); unverified baseline, mature-sector proxy, clear organization name, non-numeric identity"
