internal_company_id,internal_company_name,internal_domain,internal_country,external_provider,external_provider_commit,external_ats_family,external_company_name,external_slug,external_url,match_class,match_basis,confidence_reason,verified,verified_at,jrc_support,source_multiplicity
EMP-07218,ZeroFox,zerofox.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workable,ZeroFox,zerofox,https://apply.workable.com/zerofox,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07219,Iron Mountain Data Centers,ironmountain.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Iron Mountain,ironmountain/iron-mountain-jobs,https://ironmountain.wd5.myworkdayjobs.com/iron-mountain-jobs,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07221,Shell,shell.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Work at Shell,shell/shellcareers,https://shell.wd3.myworkdayjobs.com/shellcareers,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07222,Abbott,abbott.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Abbott,abbott/abbottcareers,https://abbott.wd5.myworkdayjobs.com/abbottcareers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07222,Abbott,abbott.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Abbott,abbott/abbottcareers2,https://abbott.wd5.myworkdayjobs.com/abbottcareers2,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07223,Siemens Healthineers,siemens.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,teamtailor,Siemens,siemens,https://siemens.teamtailor.com,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07225,John Deere,deere.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,eightfold,John Deere,deere,https://careers.deere.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,DECLARATIVE_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07225,John Deere,deere.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,John Deere,jobs,https://jobs.deere.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07226,AIG,aig.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Aig,aig/aig,https://aig.wd1.myworkdayjobs.com/aig,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07226,AIG,aig.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Aig,aig/japan,https://aig.wd1.myworkdayjobs.com/japan,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
